name,constituency_code,type,country_name,country_code,region_name,region_code,polling_on,valid_vote_count,majority,population_count
Aberafan Maesteg,W07000081,County,Wales,W92000004,,,2019-12-12,44423,13457,69817
Aberdeen North,S14000060,Burgh,Scotland,S92000003,,,2019-12-12,50127,14210,76895
Aberdeen South,S14000061,Burgh,Scotland,S92000003,,,2019-12-12,50118,5463,76560
Aberdeenshire North and Moray East,S14000062,County,Scotland,S92000003,,,2019-12-12,45891,2399,71485
West Aberdeenshire and Kincardine,S14000058,County,Scotland,S92000003,,,2019-12-12,53345,843,73634
Airdrie and Shotts,S14000063,County,Scotland,S92000003,,,2019-12-12,46338,5324,70420
Aldershot,E14001063,Borough,England,E92000001,South East,E12000008,2019-12-12,51828,17985,76765
Aldridge-Brownhills,E14001064,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,47321,22758,73122
Alloa and Grangemouth,S14000064,County,Scotland,S92000003,,,2019-12-12,45658,12727,72265
Altrincham and Sale West,E14001065,Borough,England,E92000001,North West,E12000002,2019-12-12,54763,6139,73934
Alyn and Deeside,W07000082,County,Wales,W92000004,,,2019-12-12,52350,411,75695
Amber Valley,E14001066,County,England,E92000001,East Midlands,E12000004,2019-12-12,45609,16891,70625
Angus and Perthshire Glens,S14000065,County,Scotland,S92000003,,,2019-12-12,56547,6005,77006
East Antrim,N05000005,County,Northern Ireland,N92000002,,,2019-12-12,40156,6395,69936
North Antrim,N05000012,County,Northern Ireland,N92000002,,,2019-12-12,40622,13765,71165
South Antrim,N05000014,County,Northern Ireland,N92000002,,,2019-12-12,42668,3036,71646
Arbroath and Broughty Ferry,S14000066,County,Scotland,S92000003,,,2019-12-12,52124,10777,76810
"Argyll, Bute and South Lochaber",S14000067,County,Scotland,S92000003,,,2019-12-12,50727,4897,71707
Arundel and South Downs,E14001067,County,England,E92000001,South East,E12000008,2019-12-12,58105,24105,76974
Ashfield,E14001068,County,England,E92000001,East Midlands,E12000004,2019-12-12,42949,5303,69819
Ashford,E14001069,County,England,E92000001,South East,E12000008,2019-12-12,48579,17211,73546
Ashton-under-Lyne,E14001070,Borough,England,E92000001,North West,E12000002,2019-12-12,41377,4689,72278
Aylesbury,E14001071,County,England,E92000001,South East,E12000008,2019-12-12,57888,16640,75636
"Ayr, Carrick and Cumnock",S14000006,County,Scotland,S92000003,,,2019-12-12,46592,2329,72057
Central Ayrshire,S14000010,County,Scotland,S92000003,,,2019-12-12,46534,5304,69779
North Ayrshire and Arran,S14000048,County,Scotland,S92000003,,,2019-12-12,48154,8521,73588
Banbury,E14001072,County,England,E92000001,South East,E12000008,2019-12-12,50810,13799,69943
Bangor Aberconwy,W07000083,County,Wales,W92000004,,,2019-12-12,48407,749,70468
Barking,E14001073,Borough,England,E92000001,London,E12000007,2019-12-12,41019,13993,71822
Barnsley North,E14001074,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,44480,4002,76794
Barnsley South,E14001075,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,37508,4720,75896
Barrow and Furness,E14001076,County,England,E92000001,North West,E12000002,2019-12-12,50047,7436,76603
Basildon and Billericay,E14001077,Borough,England,E92000001,East of England,E12000006,2019-12-12,46853,20749,76993
South Basildon and East Thurrock,E14001480,County,England,E92000001,East of England,E12000006,2019-12-12,44729,18731,73322
Basingstoke,E14001078,Borough,England,E92000001,South East,E12000008,2019-12-12,51181,12301,77050
Bassetlaw,E14001079,County,England,E92000001,East Midlands,E12000004,2019-12-12,47677,12588,75773
Bath,E14001080,County,England,E92000001,South West,E12000009,2019-12-12,56876,12125,73241
Bathgate and Linlithgow,S14000068,County,Scotland,S92000003,,,2019-12-12,47217,8671,71650
Battersea,E14001081,Borough,England,E92000001,London,E12000007,2019-12-12,54918,6026,71949
Beaconsfield,E14001082,County,England,E92000001,South East,E12000008,2019-12-12,52633,13772,72315
Beckenham and Penge,E14001083,Borough,England,E92000001,London,E12000007,2019-12-12,60142,631,76625
Bedford,E14001084,Borough,England,E92000001,East of England,E12000006,2019-12-12,46603,1113,70068
Mid Bedfordshire,E14001359,County,England,E92000001,East of England,E12000006,2019-12-12,51325,20509,71748
North Bedfordshire,E14001384,County,England,E92000001,East of England,E12000006,2019-12-12,56202,23631,76319
Belfast East,N05000001,Borough,Northern Ireland,N92000002,,,2019-12-12,45126,2626,70076
Belfast North,N05000002,Borough,Northern Ireland,N92000002,,,2019-12-12,48140,3739,71372
Belfast South and Mid Down,N05000003,Borough,Northern Ireland,N92000002,,,2019-12-12,47669,13322,71978
Belfast West,N05000004,Borough,Northern Ireland,N92000002,,,2019-12-12,42899,12997,71921
Bermondsey and Old Southwark,E14001085,Borough,England,E92000001,London,E12000007,2019-12-12,45885,8515,70602
"Berwickshire, Roxburgh and Selkirk",S14000008,County,Scotland,S92000003,,,2019-12-12,53146,5148,74687
Bethnal Green and Stepney,E14001086,Borough,England,E92000001,London,E12000007,2019-12-12,49951,31655,77000
